Seasonality;access;EIR;prev_allInf_210_baseline_yearly;prev_210_cat;seed
seas4mo;0.04;0.075;0.248233986;(0.2,0.3];2
seas4mo;0.04;0.075;0.226759816;(0.2,0.3];3
seas4mo;0.04;0.075;0.195076082;(0.1,0.2];4
seas4mo;0.04;0.075;0.249971165;(0.2,0.3];5
seas4mo;0.04;0.075;0.135043291;(0.1,0.2];6
seas4mo;0.04;0.075;0.173753128;(0.1,0.2];7
seas4mo;0.04;0.075;0.167034847;(0.1,0.2];8
seas4mo;0.04;0.075;0.223246589;(0.2,0.3];9
seas4mo;0.04;0.075;0.249094125;(0.2,0.3];10
seas3mo;0.0972;0.075;0.248212604;(0.2,0.3];1
seas3mo;0.0972;0.075;0.183726889;(0.1,0.2];2
