Seasonality;access;EIR;prev_allInf_210_baseline_yearly;prev_210_cat;seed
seas4mo;0.04;3;0.623937358;(0.6,0.7];4
seas4mo;0.04;3;0.617645408;(0.6,0.7];5
seas4mo;0.04;3;0.616403991;(0.6,0.7];6
seas4mo;0.04;3;0.600114784;(0.5,0.6];7
seas4mo;0.04;3;0.607046677;(0.6,0.7];8
seas4mo;0.04;3;0.598001398;(0.5,0.6];9
seas4mo;0.04;3;0.6031266;(0.5,0.6];10
seas4mo;0.0972;3;0.507067222;(0.5,0.6];1
seas4mo;0.0972;3;0.462116062;(0.4,0.5];2
seas4mo;0.0972;3;0.503399688;(0.4,0.5];3
seas4mo;0.0972;3;0.465932433;(0.4,0.5];4
seas4mo;0.0972;3;0.486146512;(0.4,0.5];5
seas4mo;0.0972;3;0.470867952;(0.4,0.5];6
seas4mo;0.0972;3;0.485082832;(0.4,0.5];7
seas4mo;0.0972;3;0.522145071;(0.5,0.6];8
seas4mo;0.0972;3;0.470873835;(0.4,0.5];9
seas4mo;0.0972;3;0.488924079;(0.4,0.5];10
seas6mo;0.2412;3;0.351169086;(0.3,0.4];1
seas6mo;0.2412;3;0.346333739;(0.3,0.4];2
seas6mo;0.2412;3;0.366899166;(0.3,0.4];3
seas6mo;0.2412;3;0.352788326;(0.3,0.4];4
seas6mo;0.2412;3;0.362393213;(0.3,0.4];5
seas6mo;0.2412;3;0.348463373;(0.3,0.4];6
seas6mo;0.2412;3;0.358719472;(0.3,0.4];7
seas6mo;0.2412;3;0.358730441;(0.3,0.4];8
seas6mo;0.2412;3;0.355545886;(0.3,0.4];9
seas6mo;0.2412;3;0.358090075;(0.3,0.4];10
seas9mo;0.2412;3;0.351632062;(0.3,0.4];1
seas9mo;0.2412;3;0.34078388;(0.3,0.4];2
seas9mo;0.2412;3;0.357002565;(0.3,0.4];3
seas9mo;0.2412;3;0.372116659;(0.3,0.4];4
seas9mo;0.2412;3;0.365561869;(0.3,0.4];5
seas9mo;0.2412;3;0.385973334;(0.3,0.4];6
seas9mo;0.2412;3;0.373709172;(0.3,0.4];7
seas9mo;0.2412;3;0.372429688;(0.3,0.4];8
seas9mo;0.2412;3;0.365788674;(0.3,0.4];9
seas9mo;0.2412;3;0.369825888;(0.3,0.4];10
seas5mo;0.2412;3.2;0.359345509;(0.3,0.4];1
seas5mo;0.2412;3.2;0.335209732;(0.3,0.4];2
seas5mo;0.2412;3.2;0.367872664;(0.3,0.4];3
seas5mo;0.2412;3.2;0.332015256;(0.3,0.4];4
seas5mo;0.2412;3.2;0.360424819;(0.3,0.4];5
seas5mo;0.2412;3.2;0.361773801;(0.3,0.4];6
seas5mo;0.2412;3.2;0.36713616;(0.3,0.4];7
seas5mo;0.2412;3.2;0.356442548;(0.3,0.4];8
seas5mo;0.2412;3.2;0.359591189;(0.3,0.4];9
seas5mo;0.2412;3.2;0.347985125;(0.3,0.4];10
seas6mo;0.0972;3.25;0.551357014;(0.5,0.6];1
seas6mo;0.0972;3.25;0.544474902;(0.5,0.6];2
seas6mo;0.0972;3.25;0.554084382;(0.5,0.6];3
seas6mo;0.0972;3.25;0.521102164;(0.5,0.6];4
seas6mo;0.0972;3.25;0.560087947;(0.5,0.6];5
seas6mo;0.0972;3.25;0.545738527;(0.5,0.6];6
seas6mo;0.0972;3.25;0.560158976;(0.5,0.6];7
seas6mo;0.0972;3.25;0.544568572;(0.5,0.6];8
seas6mo;0.0972;3.25;0.544951036;(0.5,0.6];9
seas6mo;0.0972;3.25;0.554548794;(0.5,0.6];10
seas9mo;0.0972;3.25;0.543231915;(0.5,0.6];1
seas9mo;0.0972;3.25;0.547741975;(0.5,0.6];2
seas9mo;0.0972;3.25;0.547041338;(0.5,0.6];3
seas9mo;0.0972;3.25;0.55706923;(0.5,0.6];4
seas9mo;0.0972;3.25;0.552942929;(0.5,0.6];5
seas9mo;0.0972;3.25;0.548645852;(0.5,0.6];6
seas9mo;0.0972;3.25;0.566179872;(0.5,0.6];7
seas9mo;0.0972;3.25;0.553798514;(0.5,0.6];8
seas9mo;0.0972;3.25;0.544470547;(0.5,0.6];9
seas9mo;0.0972;3.25;0.549248347;(0.5,0.6];10
seas4mo;0.2412;3.5;0.357952638;(0.3,0.4];1
seas4mo;0.2412;3.5;0.371510128;(0.3,0.4];2
seas4mo;0.2412;3.5;0.377455028;(0.3,0.4];3
seas4mo;0.2412;3.5;0.334356853;(0.3,0.4];4
seas4mo;0.2412;3.5;0.35810867;(0.3,0.4];5
seas4mo;0.2412;3.5;0.354710601;(0.3,0.4];6
seas4mo;0.2412;3.5;0.362641628;(0.3,0.4];7
seas4mo;0.2412;3.5;0.353412848;(0.3,0.4];8
seas4mo;0.2412;3.5;0.35554561;(0.3,0.4];9
seas4mo;0.2412;3.5;0.339819616;(0.3,0.4];10
seas5mo;0.0972;3.75;0.575228602;(0.5,0.6];1
seas5mo;0.0972;3.75;0.553407104;(0.5,0.6];2
seas5mo;0.0972;3.75;0.574298721;(0.5,0.6];3
seas5mo;0.0972;3.75;0.54779362;(0.5,0.6];4
seas5mo;0.0972;3.75;0.574440449;(0.5,0.6];5
seas5mo;0.0972;3.75;0.561744957;(0.5,0.6];6
seas5mo;0.0972;3.75;0.574861941;(0.5,0.6];7
seas5mo;0.0972;3.75;0.56179327;(0.5,0.6];8
seas5mo;0.0972;3.75;0.561370924;(0.5,0.6];9
seas5mo;0.0972;3.75;0.552049085;(0.5,0.6];10
seas6mo;0.2412;4;0.429172791;(0.4,0.5];1
seas6mo;0.2412;4;0.433069592;(0.4,0.5];2
seas6mo;0.2412;4;0.45059428;(0.4,0.5];3
seas6mo;0.2412;4;0.413394213;(0.4,0.5];4
seas6mo;0.2412;4;0.456587731;(0.4,0.5];5
seas6mo;0.2412;4;0.440034666;(0.4,0.5];6
seas6mo;0.2412;4;0.460956542;(0.4,0.5];7
seas6mo;0.2412;4;0.446966006;(0.4,0.5];8
seas6mo;0.2412;4;0.438917527;(0.4,0.5];9
seas6mo;0.2412;4;0.424252854;(0.4,0.5];10
seas9mo;0.2412;4;0.453758908;(0.4,0.5];1
seas9mo;0.2412;4;0.430393545;(0.4,0.5];2
seas9mo;0.2412;4;0.433050869;(0.4,0.5];3
seas9mo;0.2412;4;0.457481162;(0.4,0.5];4
seas9mo;0.2412;4;0.455721797;(0.4,0.5];5
seas9mo;0.2412;4;0.461242989;(0.4,0.5];6
seas9mo;0.2412;4;0.472454617;(0.4,0.5];7
seas9mo;0.2412;4;0.456399199;(0.4,0.5];8
seas9mo;0.2412;4;0.450973211;(0.4,0.5];9
seas9mo;0.2412;4;0.451258497;(0.4,0.5];10
seas3mo;0.2412;4.75;0.373627052;(0.3,0.4];1
seas3mo;0.2412;4.75;0.375531056;(0.3,0.4];2
seas3mo;0.2412;4.75;0.39375746;(0.3,0.4];3
seas3mo;0.2412;4.75;0.374302456;(0.3,0.4];4
seas3mo;0.2412;4.75;0.394130763;(0.3,0.4];5
seas3mo;0.2412;4.75;0.378117669;(0.3,0.4];6
seas3mo;0.2412;4.75;0.391622615;(0.3,0.4];7
seas3mo;0.2412;4.75;0.387228321;(0.3,0.4];8
seas3mo;0.2412;4.75;0.384304855;(0.3,0.4];9
seas3mo;0.2412;4.75;0.383376935;(0.3,0.4];10
seas5mo;0.2412;5;0.466511709;(0.4,0.5];1
seas5mo;0.2412;5;0.456928272;(0.4,0.5];2
seas5mo;0.2412;5;0.483746231;(0.4,0.5];3
seas5mo;0.2412;5;0.448676962;(0.4,0.5];4
seas5mo;0.2412;5;0.476327899;(0.4,0.5];5
seas5mo;0.2412;5;0.465382938;(0.4,0.5];6
seas5mo;0.2412;5;0.480876386;(0.4,0.5];7
seas5mo;0.2412;5;0.469204424;(0.4,0.5];8
seas5mo;0.2412;5;0.470734256;(0.4,0.5];9
seas5mo;0.2412;5;0.456667055;(0.4,0.5];10
seas9mo;0.2412;5.3;0.539725158;(0.5,0.6];1
seas9mo;0.2412;5.3;0.521008145;(0.5,0.6];2
seas9mo;0.2412;5.3;0.538005729;(0.5,0.6];3
seas9mo;0.2412;5.3;0.546884713;(0.5,0.6];4
seas9mo;0.2412;5.3;0.544121791;(0.5,0.6];5
seas9mo;0.2412;5.3;0.544475099;(0.5,0.6];6
seas9mo;0.2412;5.3;0.543777224;(0.5,0.6];7
seas9mo;0.2412;5.3;0.548291292;(0.5,0.6];8
seas9mo;0.2412;5.3;0.547714298;(0.5,0.6];9
seas9mo;0.2412;5.3;0.538767349;(0.5,0.6];10
seas4mo;0.0972;6;0.569301209;(0.5,0.6];1
seas4mo;0.0972;6;0.573995066;(0.5,0.6];2
seas4mo;0.0972;6;0.568793876;(0.5,0.6];3
seas4mo;0.0972;6;0.568192112;(0.5,0.6];4
seas4mo;0.0972;6;0.578501204;(0.5,0.6];5
seas4mo;0.0972;6;0.569666481;(0.5,0.6];6
seas4mo;0.0972;6;0.582771415;(0.5,0.6];7
seas4mo;0.0972;6;0.569782319;(0.5,0.6];8
seas4mo;0.0972;6;0.589812005;(0.5,0.6];9
seas4mo;0.0972;6;0.579132109;(0.5,0.6];10
seas6mo;0.2412;6.5;0.526755121;(0.5,0.6];1
seas6mo;0.2412;6.5;0.524728764;(0.5,0.6];2
seas6mo;0.2412;6.5;0.583280192;(0.5,0.6];3
seas6mo;0.2412;6.5;0.532065333;(0.5,0.6];4
seas6mo;0.2412;6.5;0.584806389;(0.5,0.6];5
seas6mo;0.2412;6.5;0.545205779;(0.5,0.6];6
seas6mo;0.2412;6.5;0.538653454;(0.5,0.6];7
seas6mo;0.2412;6.5;0.534361722;(0.5,0.6];8
seas6mo;0.2412;6.5;0.574021189;(0.5,0.6];9
seas6mo;0.2412;6.5;0.565589864;(0.5,0.6];10
seas3mo;0.0972;7;0.554036764;(0.5,0.6];1
seas3mo;0.0972;7;0.544531927;(0.5,0.6];2
seas3mo;0.0972;7;0.541800496;(0.5,0.6];3
seas3mo;0.0972;7;0.565176621;(0.5,0.6];4
seas3mo;0.0972;7;0.563244524;(0.5,0.6];5
seas3mo;0.0972;7;0.566306719;(0.5,0.6];6
seas3mo;0.0972;7;0.578544885;(0.5,0.6];7
seas3mo;0.0972;7;0.543145557;(0.5,0.6];8
seas3mo;0.0972;7;0.555893185;(0.5,0.6];9
seas3mo;0.0972;7;0.56534949;(0.5,0.6];10
seas4mo;0.2412;7;0.42708118;(0.4,0.5];1
seas4mo;0.2412;7;0.424853444;(0.4,0.5];2
seas4mo;0.2412;7;0.426660454;(0.4,0.5];3
seas4mo;0.2412;7;0.422567749;(0.4,0.5];4
seas4mo;0.2412;7;0.437294883;(0.4,0.5];5
seas4mo;0.2412;7;0.425407251;(0.4,0.5];6
seas4mo;0.2412;7;0.450338803;(0.4,0.5];7
seas4mo;0.2412;7;0.433132675;(0.4,0.5];8
seas4mo;0.2412;7;0.436475684;(0.4,0.5];9
seas4mo;0.2412;7;0.436981371;(0.4,0.5];10
